id,category,brand,model,price_usd,ram_gb,storage_gb,cpu,gpu,battery_wh,weight_kg,screen_inches,notes
L1,laptop,Lenovo,IdeaPad 5 15,750,16,512,Ryzen 5 5600U,Integrated,57,1.7,15.6,"Balanced student laptop for coding and light data work."
L2,laptop,Acer,Swift X 14,920,16,512,Ryzen 7 5800U,RTX 3050,59,1.4,14,"Great for ML notebooks and light GPU work."
L3,laptop,Dell,XPS 13,1100,16,512,Intel i7-1355U,Integrated,52,1.3,13.4,"Premium ultrabook with excellent mobility."

P1,phone,Google,Pixel 8,699,8,128,Tensor G3,Integrated,20,0.19,6.2,"Great camera, clean Android experience."
P2,phone,Samsung,Galaxy S23,799,8,256,Snapdragon 8 Gen 2,Integrated,19,0.17,6.1,"Flagship performance, strong battery."
P3,phone,Apple,iPhone 15,829,6,128,A16 Bionic,Integrated,18,0.17,6.1,"Excellent ecosystem, strong camera and video."

T1,tablet,Apple,iPad Air (M2),599,8,128,Apple M2,Integrated,28,0.46,11.0,"Great for students, note-taking and media."
T2,tablet,Samsung,Galaxy Tab S9,799,12,256,Snapdragon 8 Gen 2,Integrated,31,0.49,11.0,"High-end tablet for productivity."
T3,tablet,Lenovo,Tab P12,399,8,128,MediaTek 7050,Integrated,26,0.62,12.7,"Large screen, budget-friendly media tablet."

M1,monitor,LG,27UL500,280,0,0,None,None,0,4.7,27.0,"27'' 4K IPS, good for productivity."
M2,monitor,ASUS,TUF VG27AQ,350,0,0,None,None,0,5.8,27.0,"27'' 1440p 165Hz, gaming + work."
M3,monitor,Dell,U2720Q,520,0,0,None,None,0,5.0,27.0,"27'' 4K USB-C, great for creators."
